,cluster_11
3050,2
3053,2
3054,10
3055,8
3056,2
3058,10
3059,9
3062,9
3063,6
3064,9
3068,7
3069,5
3079,8
3080,0
3084,9
3093,0
3096,3
3099,3
3100,9
3113,6
3114,9
3124,6
3132,10
3133,8
3134,0
3136,1
3138,9
3139,7
3144,7
3145,7
3146,0
3148,9
3149,7
3150,9
3159,8
3161,5
3164,3
3169,1
3170,1
3171,10
3174,7
3175,4
3176,7
3177,3
3178,8
3182,1
3183,3
3184,0
3185,3
3188,9
3189,8
3191,8
3193,0
3194,10
3201,6
3207,6
3210,6
3215,2
3217,4
3221,5
3225,0
3236,0
3237,5
3241,5
3253,2
3255,4
3256,0
3257,0
3263,0
3267,0
3269,4
3270,8
3272,2
3278,3
3281,4
3291,6
3292,7
3294,10
3295,7
3296,6
3299,0
3303,2
3306,0
3308,2
3311,5
3314,4
3315,10
3319,0
3336,1
3352,2
3361,1
3363,7
3367,0
3369,1
3372,8
3381,10
3383,2
3388,2
3389,7
3393,10
3399,1
3403,0
3408,2
3414,2
3415,1
3416,8
3417,0
3419,5
3428,2
3437,8
3438,0
3442,0
3443,7
3450,1
3455,9
3456,6
3457,0
3459,4
3470,1
3475,5
3490,3
3493,8
3494,5
3501,0
3503,0
3506,1
3507,4
3510,4
3513,4
3514,7
3515,4
3517,7
3520,4
3521,8
3523,1
3524,0
3525,2
3526,9
3528,3
3531,6
3532,7
3533,6
3535,9
3539,5
3540,7
3541,0
3542,8
3543,4
3546,9
3547,2
3553,1
3558,2
3559,4
3560,9
3564,6
3566,0
3567,2
3569,7
3571,6
3573,7
3574,1
3575,3
3577,7
3578,1
3579,8
3580,10
3582,3
3583,7
3586,1
3587,0
3588,0
3589,0
3590,2
3592,2
3593,4
3596,0
3597,4
3598,0
3599,0
3600,4
3601,3
3602,2
3606,4
3607,8
3608,1
3611,6
3613,7
3614,6
3616,8
3617,0
3618,8
3619,2
3620,4
3621,9
3622,10
3623,0
3625,9
3627,2
3628,2
3630,2
3632,0
3640,2
3648,7
3649,0
3650,4
3651,2
3652,4
3653,10
3657,2
3658,4
3665,9
3671,8
3672,9
3681,3
3682,1
3684,5
3689,7
3693,5
3695,1
3701,3
3702,8
3703,3
3704,7
3705,5
3706,5
3708,4
3710,9
3712,10
3713,6
3714,5
3715,4
3718,5
3719,5
3720,1
3721,8
3722,0
3723,9
3725,6
3726,2
3728,2
3734,2
3737,5
3740,9
3746,6
3747,4
3752,2
3757,7
3758,0
3759,0
3760,7
3761,6
3764,9
3765,2
3766,2
3770,2
3771,10
3773,3
3776,9
3779,10
3783,2
3786,7
3787,8
3790,3
3792,0
3793,3
3797,6
3798,6
3800,10
3801,7
3803,2
3804,4
3805,7
3806,4
3807,0
3808,7
3809,2
3811,4
3812,6
3813,8
3814,7
3816,0
3817,7
3818,6
3826,2
3828,3
3836,1
3837,5
3840,1
3841,6
3842,4
3843,10
3846,8
3848,0
3849,6
3850,10
3851,2
3852,5
3853,8
3854,8
3858,10
3860,0
3862,9
3863,6
3865,7
3869,4
3872,9
3875,7
3876,9
3877,3
3880,1
3881,5
3886,5
3892,7
3896,0
3900,9
3901,4
3902,2
3903,4
3904,4
3905,0
3906,8
3907,5
3908,6
3909,3
3911,3
3914,10
3915,2
3918,8
3920,3
3921,4
3925,6
3928,1
3930,6
3936,7
3937,3
3939,3
3940,0
3945,0
3947,2
3948,9
3951,0
3955,8
3959,7
3960,0
3962,2
3977,8
3978,4
3979,3
3980,1
3981,8
3986,7
3988,4
3990,4
3991,10
3992,2
3994,4
3999,4
4000,0
4001,1
4002,1
4003,3
4004,5
4007,6
4010,1
4011,0
4019,1
4020,7
4022,4
4027,0
4033,10
4034,9
4036,5
4039,10
4040,3
4041,0
4043,0
4048,9
4049,7
4050,7
4052,0
4056,7
4059,3
4060,8
4061,3
4063,5
4065,10
4066,10
4067,2
4070,7
4072,1
4073,3
4079,5
4080,5
4081,3
4084,2
4086,7
4087,8
4089,9
4090,0
4092,7
4128,10
4131,4
4141,6
4147,2
4158,8
4179,8
4188,4
4206,2
4217,5
4222,5
4234,7
4245,5
4249,6
4254,10
4262,8
4269,2
4274,2
4284,8
4285,0
4298,2
4302,9
4312,0
4318,8
4320,10
4322,2
4329,0
4331,7
4333,9
4334,10
4337,8
4344,9
4345,7
4347,10
4348,5
4352,7
4359,10
4360,7
4363,0
4366,6
4367,10
4369,6
4372,8
4374,4
4375,8
4379,4
4389,8
4390,6
4392,9
4393,10
4394,5
4396,6
4401,1
4408,0
4409,7
4411,7
4413,6
4415,2
4417,3
4419,6
4422,3
4424,9
4425,1
4426,3
4430,2
4435,7
4437,7
4438,4
4439,9
4440,2
4447,6
4450,10
4454,9
4458,7
4459,10
4460,6
4462,8
4464,6
4471,5
4473,8
4475,1
4476,10
4479,7
4484,7
4491,2
4502,9
4506,2
4508,2
4511,3
4513,7
4515,2
4516,8
4517,0
4519,3
4520,9
4523,9
4524,10
4525,6
4527,4
4529,0
4530,7
4531,4
4533,8
4534,7
4535,10
4536,9
4539,6
4541,9
4543,9
4545,0
4547,0
4549,2
4550,7
4551,2
4552,5
4553,4
4555,9
4556,2
4558,0
4559,4
4560,2
4562,6
4568,1
4569,2
4575,10
4576,2
4579,1
4581,2
4582,2
4586,4
4588,2
4590,6
4591,6
4594,10
4596,6
4597,7
4598,2
4600,3
4603,8
4606,4
4608,4
4610,2
4612,7
4613,7
4615,0
4619,7
4623,0
4624,6
4627,8
4629,8
4636,1
4638,0
4640,4
4644,3
4647,1
4648,6
4650,7
4652,6
4653,5
4656,6
4660,5
4661,3
4664,4
4665,2
4668,2
4671,3
4679,5
4688,4
4689,2
4691,6
4692,3
4693,8
4694,6
4695,3
4696,7
4697,2
4698,3
4700,2
4701,3
4703,4
4706,0
4708,9
4709,9
4710,10
4712,0
4713,2
4715,2
4716,6
4717,0
4720,1
4724,8
4725,4
4726,2
4728,7
4730,5
4731,8
4732,1
4734,7
4735,8
4737,8
4738,2
4739,3
4740,10
4741,10
4743,9
4745,7
4749,2
4750,2
4753,2
4755,6
4756,7
4759,6
4762,4
4763,7
4764,4
4765,8
4766,7
4767,8
4772,8
4774,0
4775,0
4778,2
4779,6
4780,1
4784,7
4785,4
4786,7
4788,0
4789,6
4791,2
4796,3
4797,1
4800,0
4802,0
4807,7
4808,2
4809,10
4811,3
4813,6
4816,10
4817,3
4818,0
4819,0
4820,6
4821,6
4822,4
4824,0
4829,1
4830,0
4831,5
4832,7
4833,8
4835,4
4836,4
4837,9
4838,0
4839,1
4840,6
4841,0
4842,9
4844,2
4845,0
4846,7
4847,3
4848,4
4849,8
4850,10
4851,2
4853,7
4854,9
4855,2
4856,1
4857,6
4858,5
4859,4
4860,1
4862,7
4864,2
4867,9
4868,3
4870,0
4874,8
4876,2
4878,7
4879,8
4880,3
4883,2
4884,9
4887,6
4888,4
4891,1
4892,9
4895,10
4898,7
4899,8
4900,9
4901,0
4903,1
4904,0
4905,8
4909,6
4910,9
4912,4
4913,6
4915,1
4916,8
4917,6
4918,7
4920,8
4921,2
4922,7
4923,2
4925,1
4926,3
4927,1
4929,5
4930,8
4931,7
4932,7
4934,8
4937,8
4940,4
4944,5
4945,9
4946,6
4948,1
4949,9
4951,1
4952,3
4953,7
4954,7
4955,4
4956,4
4958,8
4960,7
4961,0
4962,4
4963,0
4964,9
4965,4
4966,6
4967,2
4968,6
4969,3
4970,9
4971,7
4972,7
4978,0
4979,0
4981,7
4984,5
4985,2
4986,3
4988,3
4992,5
4993,0
4994,8
4995,10
4999,0
5002,4
5003,2
5004,7
5005,6
5007,3
5008,9
5010,8
5011,0
5013,8
5014,0
5019,3
5020,9
5022,6
5023,10
5025,2
5026,4
5027,9
5030,2
5031,3
5032,6
5033,9
5035,1
5036,0
5038,8
5042,3
5043,6
5044,0
5045,6
5047,8
5051,7
5052,1
5055,5
5056,7
5057,3
5059,7
5060,5
5061,9
5063,0
5065,9
5066,2
5067,2
5068,2
5069,4
5070,7
5072,6
5075,0
5077,2
5078,0
5081,8
5082,3
5083,9
5084,6
5087,3
5088,1
5089,5
5090,5
5091,2
5092,0
5093,2
5094,9
5096,7
5097,6
5099,0
5100,10
5102,3
5104,0
5106,7
5108,3
5109,1
5114,1
5115,0
5116,9
5117,4
5121,8
5123,7
5125,2
5127,0
5129,6
5131,5
5132,0
5133,7
5136,7
5137,4
5138,3
5140,0
5141,9
5143,2
5144,4
5146,0
5147,5
5150,8
5151,0
5152,9
5154,7
5155,4
5158,0
5160,2
5162,10
5167,8
5168,1
5169,5
5170,6
5171,9
5172,10
5173,4
5174,6
5175,1
5178,10
5179,7
5180,1
5181,9
5182,1
5184,1
5187,0
5189,4
5191,1
5192,2
5193,7
5194,1
