,0,1,2,3,4,5,6,7,8,9,10,11
57,0.0003008796078457965,8.231455758308816e-11,5.562137056253173e-06,0.9995128348002085,3.632923203034107e-07,3.0024167497654764e-11,1.8744993495648257e-07,4.319421212234902e-15,2.6917655351746083e-05,6.081344884581813e-06,2.1578913557483445e-29,0.00014717360005706345
59,5.8596962133753674e-06,1.0584991861832114e-16,4.269897977444507e-05,0.02181236415251856,1.8068174611751552e-19,3.4832047400998665e-14,0.008823442228963268,4.920878155488089e-12,5.773607873140185e-19,2.1023180955007513e-06,2.518851353438987e-35,0.9693135326194816
60,5.6541395863011625e-18,2.0803622507862906e-28,8.984843832030391e-17,9.247231031837411e-08,0.45023187623100286,7.499874130601793e-30,2.13269557468746e-07,0.5488895019033724,4.367300506050646e-08,1.249781125525286e-12,2.566799893686454e-58,0.0008782724495037444
61,8.496633396756896e-05,0.0010384732339158416,1.3398426931033093e-11,2.059724818602744e-06,3.4522904438891242e-09,2.446252614245629e-10,7.955110161851258e-19,2.738902801956445e-32,1.7432572188359283e-06,0.9988727537397584,1.178983008068235e-21,3.6154120282324807e-16
63,1.3564383376046404e-17,2.2359996512106237e-07,0.39794456239256315,0.5641810119498136,2.957650187074196e-07,1.105508519274025e-05,0.00010970034014295602,5.5017546449993934e-21,1.0607309972568158e-16,0.03775314214037104,5.088415690430465e-22,8.726930967887696e-09
64,5.965017364367392e-15,9.735948924385431e-25,1.449118135893566e-14,3.1712959815149547e-06,0.9947999635142323,6.453666871779355e-26,4.4664194990105524e-07,0.0010037153570433492,3.342455623407043e-08,1.8194294348096326e-10,2.6051494113107305e-52,0.004192669584276335
65,6.116557315525e-31,7.81631470572004e-06,0.6970584361075736,1.0592660956463e-05,1.6408036621466866e-26,0.018650561770901197,1.1738049502739095e-07,1.818110171661557e-46,1.7255609347592887e-46,0.28427247576536246,7.81668285038599e-16,6.607729501330775e-27
66,7.188598449911582e-34,2.5941773438274093e-12,0.999871668423776,1.41526859780757e-07,1.6421506110839225e-29,2.0525239292835768e-05,0.00010760316600586683,2.9295299382995387e-40,3.851999735997728e-21,6.164146543085463e-08,1.3287989325886669e-20,1.9202035010036067e-25
67,1.0036707737426456e-16,4.557727071803856e-27,1.4440617996125615e-15,1.5948851396683136e-06,0.964583227950384,3.4566301860954917e-28,2.3385224715468957e-07,0.03518730692297335,1.1864547360626249e-07,1.3241519729595106e-11,8.787309069510664e-57,0.00022751773054017314
68,3.4270031450372583e-07,0.9985438105842431,1.2912525251821034e-08,6.768354138759098e-13,2.0271247292869064e-24,0.0014464383211988732,3.6249448954967535e-21,5.498444794327033e-62,8.90882029907617e-06,4.127800945385809e-07,7.388064550507211e-08,8.206074868216603e-38
69,0.005006275821034824,0.9941562407585917,1.5560654131733203e-11,5.688378896751106e-16,1.692716691997571e-34,0.00042138254963536775,3.0379564509850313e-28,7.1174151747793885e-65,1.7433259345871434e-30,4.460877905321595e-12,0.00041610085071529907,6.308422017654654e-29
70,2.165576903028204e-52,0.26087112970281057,6.984734629701147e-12,4.508265492169632e-22,2.4163515425366467e-38,0.018822533892935353,1.2611417556997892e-31,6.2491338823288105e-84,1.81266493622042e-26,3.301024373196445e-12,0.7203063363939692,1.0948072114342087e-54
71,0.5959015456900915,0.00012448020997664892,0.029597446626550814,0.02216473507530375,5.848634709578623e-09,0.00040463186565348506,1.7923171694440153e-08,1.296356198668803e-27,2.7711984951269506e-17,0.3518071309724539,4.521409162138298e-18,5.788159587464797e-09
72,1.0809541635375885e-31,1.3992569584972743e-09,0.9770352023865918,4.8378435818151077e-11,3.0454897101227306e-20,0.015850647963940225,1.1065358759083434e-06,1.664767911865047e-44,0.007113037250466354,4.415491023812033e-09,1.1859246907807344e-15,1.890288591753869e-27
73,2.330517888404353e-19,6.04013658530006e-10,0.0003674348900186831,0.11671142710394149,0.013648569626486208,4.360070132838124e-10,0.0003167446846078382,3.3556680141508686e-14,2.7098088566921054e-31,0.8689531067277922,6.811022937010239e-30,2.7159271052698754e-06
74,6.098521221605294e-14,6.348936502351881e-22,1.1166046726324163e-13,0.00034514073343799926,0.9994955602867043,1.65233553189433e-24,1.1312872693263234e-08,3.288576426963558e-07,1.212772875216507e-07,5.078574993515982e-09,3.809696349306754e-50,0.00015883245330715922
75,9.125705539569321e-15,6.9615876058964655e-28,1.1380340541701514e-13,3.371453704628512e-05,0.755890491554658,8.063123452613574e-28,8.410398150710698e-06,0.008103631157347815,1.9760439750317348e-56,5.655404643095167e-10,2.2846736108065887e-55,0.23596375178713558
76,1.007872343261691e-10,0.10937499553562965,9.634984914226769e-22,2.0115056939052982e-24,1.711269354690509e-58,1.2960713542890194e-08,6.815575293017908e-47,4.6453832932081826e-86,3.7265612359584085e-51,4.666491985552015e-19,0.8906249914028747,5.7576865831740665e-46
77,1.7630150051982957e-06,4.2672914323090186e-16,8.279060540859375e-08,0.9996886798675131,2.593034164069992e-05,2.5957099487160023e-16,1.039896738421532e-07,5.887118478738362e-15,1.404675569399953e-50,1.1869509882128457e-06,1.0252014509945183e-36,0.00028225304456648434
78,5.127514022751265e-52,3.2232420457253884e-07,2.4724040101133553e-07,2.157368511945895e-20,3.1785026529508062e-65,0.9980856075198382,2.721406230975531e-24,8.151380549453788e-80,5.109044285117601e-58,5.703144478324665e-14,0.0019138229155003764,4.7599474387430994e-63
80,8.978291934530179e-11,1.1696578211854964e-18,1.8998491952334213e-10,0.0165870002089749,0.9590374234018273,1.0556214028599524e-20,2.3193918259671046e-05,0.0013470620646495652,0.0005578350724510845,1.978495735749258e-07,2.3030268360617685e-45,0.02244728720449778
81,2.2052839464504136e-81,3.1858584791471144e-10,0.00034012345715681697,8.735520383702382e-21,2.9640978692314713e-63,0.9996597406655315,2.2800895076798106e-16,7.075855504324135e-69,7.016478201702729e-08,4.956581257171886e-16,6.539394068336705e-08,3.436420637701485e-83
82,1.5265617134915398e-20,1.4550118678609193e-14,0.009320912596305159,4.134811923788326e-05,1.553031982704137e-21,2.1530820681734315e-10,0.055980948206159356,6.3388161333915194e-27,0.9346565978704017,1.929925778882595e-07,1.4331723131590115e-30,5.731807400034838e-18
83,1.946144520301394e-76,5.961922532049441e-10,0.5252076298284374,5.196927372854781e-16,5.886097622417501e-41,0.47479220943980793,1.1618372028036959e-08,1.031282834848569e-69,1.348828542636542e-38,1.48510658117537e-07,6.525057629185198e-12,5.620514126172891e-63
85,8.639608198110705e-05,3.653969612177566e-11,1.9657090087094186e-07,0.00891554795896215,0.008284187897546756,3.3239714364912374e-13,3.973623112810053e-06,2.1061262508507187e-13,0.9817029842008275,0.0005920749129246342,3.249125335646568e-32,0.0004146387166624079
86,5.957069798033363e-07,2.2598615841694606e-09,2.6368911722746508e-09,0.9999705373349648,1.658403803118385e-05,2.872223930508473e-14,2.7285013158682227e-13,4.171740277973913e-21,4.404396731596768e-06,7.872405261606295e-06,6.8188133337225315e-31,1.2209750566869224e-09
87,3.394468717027035e-45,6.043017325423336e-08,4.11745209316039e-20,1.4771975107183536e-33,1.0613292310163377e-69,3.210385245911576e-07,2.2965791645855107e-43,1.0015909642959887e-105,7.95246121204264e-56,1.3458393364121109e-24,0.9999996185313068,3.826023356070697e-80
88,2.0523355076245098e-30,1.92043222877881e-07,0.9920362352308809,1.6753251666778268e-05,1.9690871015298084e-27,0.002964824508704904,4.577163121873893e-07,2.1151332033315947e-29,3.6236723696298743e-31,0.0049815372473389205,3.2014019147909994e-17,1.8709845279518073e-12
89,0.05329665342484534,4.669002966454581e-12,0.0004500382031327494,0.8113019312085916,2.675554719696309e-06,2.161601364486543e-11,8.861267348419927e-06,9.31237689286664e-17,2.091934484968304e-34,0.00705398507801199,7.916435232197754e-30,0.12788585523706442
